"ID","CORE_TEXT","EXT_TEXT","complementary colours","this torso of Venus","drew","Van Gogh wrote","standing torso of Venus","he wrote","The Potato Eaters","which he painted a number of times","He would use this technique more than once in his later work","Head of a Woman","Head of a Man","Head of a Woman 1","Head of a Woman 2","Head of a Woman 3","Torso of Venus","Horse","Torso of Venus 1","Male Torso","Kneeling Ecorche","Torso of Venus 2","Portrait of a Prostitute","Head of an Old Man","Head of a Woman 4","Plaster Cast of a Womans Torso","Plaster Cast of a Womans Torso 1","Torso of Venus 3","Woman Sewing","Letter from Vincent van Gogh to Theo van Gogh with sketches of Head of a Woman and Head of a Woman","Head of a Prostitute","1885","Nuenen","painting","heads","Antwerp","portrait","1886","Paris","still life","nude","1884","1887","animal art","drawing","1890","cityscape","1881","Brussels"
"s0004V1962r","Head of a Woman Vincent van Gogh (1853 - 1890), Nuenen, May 1885 oil on canvas, 43.5 cm x 36.2 cm ? With his brother Theo van Gogh, Paris, after May 1885; after Theos death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; given on loan by Vincent Willem van Gogh, Laren to the Stedelijk Museum, Amsterdam, since 16 December 1930; donated by Vincent Willem van Gogh on 11 March 1952 to the (1st) Vincent van Gogh Foundation, Laren; transferred on 28 December 1960 by the (1st) Vincent van Gogh Foundation to the Theo van Gogh Foundation, Laren; agreement concluded on 21 July 1962 between the (2nd) Vincent van Gogh Foundation, Amsterdam, and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State; donated on 21 July 1962 by the Theo van Gogh Foundation to the Vincent van Gogh Foundation; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","F0388r JH0782 s0004V1962r 43.5 cm x 36.2 cm","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Type=painting","https://vangoghmuseum.nl/en/collection?Genre=heads","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0006V1962","Head of a Woman Vincent van Gogh (1853 - 1890), Nuenen, April 1885 oil on canvas, 43.2 cm x 30.0 cm x 2.2 cm This woman is Gordina de Groot, who posed with her family for The Potato Eaters. To prepare for that painting, Van Gogh made over 40 studies of farmworkers heads, including this one. He hoped this would make him a better figure painter. Van Gogh wanted to portray peasants as people of a special kind, who had been working the land for centuries. They remind one of the earth, sometimes appear to have been modelled out of it, Vincent wrote to his brother Theo. This work was a study in colour. Van Gogh concentrated on the complementary colours red and green. Probably taken from Nuenen by his brother, Theo van Gogh, Paris, at the end of March 1885; after Theos death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; given on loan by Vincent Willem van Gogh, Laren to the Stedelijk Museum, Amsterdam, since 16 December 1930; transferred by Vincent Willem van Gogh, on 10 July 1962 to the Vincent van Gogh Foundation, Amsterdam; agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","F0160 JH0722 s0006V1962 43.2 cm x 30.0 cm, 2.2 cm x 59.0 cm, 46.2 cm x 9.5 cm","https://www.vangoghmuseum.nl/en/stories/looking-for-contrast#3","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection/s0072V1962","https://vangoghmuseum.nl/en/collection/s0069V1962","https://vangoghmuseum.nl/en/collection/s0139V1962","https://vangoghmuseum.nl/en/collection/s0062V1962","https://vangoghmuseum.nl/en/collection/s0084V1962","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Type=painting","https://vangoghmuseum.nl/en/collection?Genre=heads","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0010V1962","Portrait of an Old Woman Vincent van Gogh (1853 - 1890), Antwerp, December 1885 oil on canvas, 50.5 cm x 39.8 cm The old womans grey hair sticks out from under her white cap. Van Gogh liked bonnets like this, which made a fine contrast with dark clothing and backgrounds. Using rough brushstrokes, Van Gogh suggested the shadows in her face. In Antwerp (BE), Van Gogh wanted to master portrait painting. He heard from local art dealers that womens heads sold better than mens. From that time on, he focused on female models. With his brother Theo van Gogh, Paris, after December 1885; after Theos death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; transferred by Vincent Willem van Gogh, Laren, on 10 July 1962 to the Vincent van Gogh Foundation, Amsterdam; agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","F0174 JH0978 s0010V1962 50.5 cm x 39.8 cm, 68.1 cm x 57.7 cm","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","https://vangoghmuseum.nl/en/collection?Place=Antwerp","https://vangoghmuseum.nl/en/collection?Genre=portrait","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0056V1962","Torso of Venus Vincent van Gogh (1853 - 1890), Paris, June 1886 oil on cardboard, 46.0 cm x 38.0 cm Van Gogh was thorough in everything he did. So when he decided to practise painting plaster models of classical sculptures, he immediately produced a whole series. He painted this torso of Venus five times, in each case from a different angle. This time he has turned the model to face away from him. He has used a lot of paint and followed the curves of the body with his brush. Left by the artist at the apartment of his brother Theo van Gogh, Paris, mid-June 1886; after Theos death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; transferred by Vincent Willem van Gogh on 10 July 1962 to the Vincent van Gogh Foundation, Amsterdam; agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","F0216a JH1054 s0056V1962 46.0 cm x 38.0 cm, 55.1 cm x 46.5 cm","localhost","https://www.vangoghmuseum.nl/en/collection/s0199V1962","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection/s0089V1962","https://vangoghmuseum.nl/en/collection/s0202V1962","https://vangoghmuseum.nl/en/collection/s0101V1962","https://vangoghmuseum.nl/en/collection/s0103V1962","https://vangoghmuseum.nl/en/collection/s0102V1962","https://vangoghmuseum.nl/en/collection/s0201V1962","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1886","https://vangoghmuseum.nl/en/collection?Place=Paris","https://vangoghmuseum.nl/en/collection?Genre=still life","https://vangoghmuseum.nl/en/collection?Genre=nude","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0058V1962","Woman with a Mourning Shawl Vincent van Gogh (1853 - 1890), Nuenen, March-May 1885 oil on canvas, 45.5 cm x 33.0 cm Here, Van Gogh was practising painting strong contrasts between light and dark, using only a few colours ochre for hands and face and green for background and clothing. The woman is wearing a falie or mourning shawl. If you look carefully, you can just spot a white bonnet peeping out from under it. In the spring and summer of 1885, Van Gogh drew and painted other women wearing shawls over their heads in this way. They were worn at funerals or when in mourning. With his brother Theo van Gogh, Paris, after May 1885; after Theos death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; transferred by Vincent Willem van Gogh, Laren, on 10 July 1962 to the Vincent van Gogh Foundation, Amsterdam (ratified 28 December 1970); agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","F0161 JH0788 s0058V1962 45.5 cm x 33.0 cm, 60 cm x 48 cm","localhost","localhost","https://www.vangoghmuseum.nl/en/collection/d0024V1962","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Type=painting","https://vangoghmuseum.nl/en/collection?Genre=heads","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0059V1962","Head of a Prostitute Vincent van Gogh (1853 - 1890), Antwerp, December 1885 oil on canvas, 35.2 cm x 24.4 cm By choosing this contemporary subject, Van Gogh presented himself as a modern painter of city life. That included the margins of society and the prostitutes who lived there. This woman may not look like a prostitute at first glance. But in the nineteenth century, loose hair was a sign of loose morals. Van Gogh used rough brushstrokes to paint her face. He succeeded in giving her features volume and life. With his brother Theo van Gogh, Paris, after December 1885; after Theos death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; donated by Vincent Willem van Gogh on 11 March 1952 to the (1st) Vincent van Gogh Foundation, Laren; transferred on 28 December 1960 by the (1st) Vincent van Gogh Foundation to the Theo van Gogh Foundation, Laren; agreement concluded on 21 July 1962 between the (2nd) Vincent van Gogh Foundation, Amsterdam, and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State; donated on 21 July 1962 by the Theo van Gogh Foundation to the Vincent van Gogh Foundation; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","F0206 JH0972 s0059V1962 35.2 cm x 24.4 cm, 52.9 cm x 41.9 cm","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection/s0143V1962","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","https://vangoghmuseum.nl/en/collection?Genre=heads","https://vangoghmuseum.nl/en/collection?Place=Antwerp","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0061V1962","Portrait of an Old Man Vincent van Gogh (1853 - 1890), Antwerp, December 1885 oil on canvas, 44.4 cm x 33.7 cm Van Gogh painted this man in Antwerp (BE), where he lived from late November 1885 to late February 1886. He has impressive features, as Van Gogh wrote to his brother Theo: I have an appointment for tomorrow with a splendid old man will he come??? Van Gogh had a hard time finding suitable models. Besides, models were expensive. But this man did show up to pose for him. Van Gogh thought that the mans full beard made him look like the author Victor Hugo. Using rough but well-placed brushstrokes, he made a compelling portrait. With his brother Theo van Gogh, Paris, after December 1885; after Theos death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; transferred by Vincent Willem van Gogh on 10 July 1962 to the Vincent van Gogh Foundation, Amsterdam; agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","F0205 JH0971 s0061V1962 44.4 cm x 33.7 cm, 58.6 cm x 48.5 cm","localhost","localhost","localhost","http://vangoghletters.org/vg/letters/let546/letter.html","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection/d0041V1971","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","localhost","https://vangoghmuseum.nl/en/collection?Type=painting","localhost","https://vangoghmuseum.nl/en/collection?Place=Antwerp","https://vangoghmuseum.nl/en/collection?Genre=portrait","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0062V1962","Head of a Woman Vincent van Gogh (1853 - 1890), Nuenen, March 1885 oil on canvas on triplex, 42.2 cm x 34.8 cm ? Probably taken from Nuenen by his brother Theo van Gogh, Paris, 31 March 1885; after Theos death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; transferred by Vincent Willem van Gogh on 10 July 1962 to the Vincent van Gogh Foundation, Amsterdam; agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","F0080a JH0682 s0062V1962 42.2 cm x 34.8 cm, 58.5 cm x 51 cm","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection/s0072V1962","https://vangoghmuseum.nl/en/collection/s0069V1962","https://vangoghmuseum.nl/en/collection/s0139V1962","https://vangoghmuseum.nl/en/collection/s0006V1962","https://vangoghmuseum.nl/en/collection/s0084V1962","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Type=painting","https://vangoghmuseum.nl/en/collection?Genre=heads","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0068V1962r","Head of a Man Vincent van Gogh (1853 - 1890), Nuenen, March-May 1885 oil on canvas, 42.5 cm x 32.1 cm To practise portraying peasant types, Van Gogh aimed to paint at least 50 different heads. He began the project in October 1884, on the advice of an artist friend. This Head of a Man is one of the last in the series. The name and identity of the man are unknown. Van Goghs letters tell us little about his models. We only know that he found them in Nuenen, where he had returned to live temporarily with his parents. With his brother Theo van Gogh, Paris, after May 1885; after Theos death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; given on loan by Vincent Willem van Gogh, Laren to the Stedelijk Museum, Amsterdam, since 16 December 1930; transferred by Vincent Willem van Gogh on 10 July 1962 to the Vincent van Gogh Foundation, Amsterdam; agreement concluded on 21 July 1962 between the Vincent van Gogh Foundation and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","F0179r JH0786 s0068V1962r 42.5 cm x 32.1 cm, 49 cm x 38.6 cm","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Type=painting","https://vangoghmuseum.nl/en/collection?Genre=heads","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
"s0069V1962","Head of a Man Vincent van Gogh (1853 - 1890), Nuenen, November 1884-February 1885 oil on canvas, 37.7 cm x 29.5 cm ? With his brother Theo van Gogh, Paris, after February 1885; after Theos death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; given on loan by Vincent Willem van Gogh, Laren to the Stedelijk Museum, Amsterdam, since 16 December 1930; donated by Vincent Willem van Gogh on 11 March 1952 to the (1st) Vincent van Gogh Foundation, Laren; transferred on 28 December 1960 by the (1st) Vincent van Gogh Foundation to the Theo van Gogh Foundation, Laren; agreement concluded on 21 July 1962 between the (2nd) Vincent van Gogh Foundation, Amsterdam, and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State; donated on 21 July 1962 by the Theo van Gogh Foundation to the Vincent van Gogh Foundation; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","F0164 JH0558 s0069V1962 37.7 cm x 29.5 cm, 53.6 cm x 45.5 cm","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection/s0072V1962","localhost","https://vangoghmuseum.nl/en/collection/s0139V1962","https://vangoghmuseum.nl/en/collection/s0006V1962","https://vangoghmuseum.nl/en/collection/s0062V1962","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection/s0084V1962","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1885","https://vangoghmuseum.nl/en/collection?Place=Nuenen","https://vangoghmuseum.nl/en/collection?Type=painting","https://vangoghmuseum.nl/en/collection?Genre=heads","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?Date=1884","localhost","localhost","localhost","localhost","localhost","localhost","localhost"
